entered word,name,state code,mampulan symbol,definition,etymology,,,,,,,,,,,,,
Wandara,Wandara,LIB,wandara,,,,,,,,,,,,,,,
Wilburus,Wilburus,LIB,wilburus,,,,,,,,,,,,,,,
Wanzar,Wanzar,LIB,wanzar,,,,,,,,,,,,,,,
Nukte,Nukte,LIB,nukte,,,,,,,,,,,,,,,
Wilbit,Wilbit,LIB,wilbit,,,,,,,,,,,,,,,
Wolkus,Wolkus,LIB,wolkus,,,,,,,,,,,,,,,
Wudkil,Wudkil,LIB,wudkil,,,,,,,,,,,,,,,
Labo,Labo,LIB,labo,,,,,,,,,,,,,,,
Wilpa^,Wilpâ,LIB,wilpa^,,,,,,,,,,,,,,,
Wonal,Wonal,LIB,wonal,,,,,,,,,,,,,,,
Wence,Wence,LIB,wence,,,,,,,,,,,,,,,
Wir,Wir,LIB,wir,,,,,,,,,,,,,,,
Worath,Worath,LIB,woras,,,,,,,,,,,,,,,
Wopine,Wopine,LIB,wopine,,,,,,,,,,,,,,,
Wur,Wur,LIB,wur,,,,,,,,,,,,,,,
Hige,Hige,LIB,hige,,,,,,,,,,,,,,,
,,LIB,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sarafanga,Sarafanga,LAT,sarafaqa,a city,,,,,,,,,,,,,,
Wan,Wan,LAT,wan,a city,,,,,,,,,,,,,,
Wiska,Wiska,LAT,wiska,a city,,,,,,,,,,,,,,
Wi^te,Wîte,LAT,wi^te,a city,,,,,,,,,,,,,,
Wolten,Wolten,LAT,wolten,a city,,,,,,,,,,,,,,
Wile,Wile,LAT,wile,a city,,,,,,,,,,,,,,
Lakatanote,Lakatanote,LAT,lakatanote,a city,,,,,,,,,,,,,,
Lanayote,Lanayote,LAT,lanayote,a city,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,LOP,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,LIN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,LIR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,MIK,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,MIL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,NOS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Hulka^n,Hulkân,Lobonlan&#44; PAN,hulka^n,a town,hulkînman + pulân = hulkân,(predator plains),,,,,,,,,,,,
Lobonlan,Lobonlan,PAN,lobonlan,a city,lobo + ng + lando = lobonlan (lupine land),,,,,,,,,,,,,
Lupa^n,Lupân,PAN,lupa^n,a city,lupîn + pulân = lupân (lupine plain),,,,,,,,,,,,,
Fūmunlan,Fūmunlan,PAN,fu-munlan,a city,fung + mūn + lando = fūmunlan (full moon land),,,,,,,,,,,,,
Lobopula^n,Lobopulân,PAN,lobopula^n,a city,lobo + pulân = lobopulân (wolf plain),,,,,,,,,,,,,
Lobosangado,Lobosangado,PAN,lobosaqado,a city,lobo sa sangado = lobosangado (wolf territory),,,,,,,,,,,,,
Wa^lobolan,Wâlobolan,PAN,wa^lobolan,a city,weya + lobo + lando = wâlobolan (werewolf land),,,,,,,,,,,,,
Fang City ,Fang City ,PAN,faq mit,a city,Fang + City,,,,,,,,,,,,,
Fanglan,Fanglan,PAN,faqlan,a city,Fang + lan,,,,,,,,,,,,,
Fangpula^n,Fangpulân,PAN,faqpula^n,a city,Fang + pulân,,,,,,,,,,,,,
Fenrir,Fenrir,PAN,fenrir,a city,,,,,,,,,,,,,,
Langila,Langila,PAN,laqila,a city,,,,,,,,,,,,,,
Lupinewood,Lupinewood,PAN,lupi^nwu-d,a city,,,,,,,,,,,,,,
Lupini^la,Lupinîla,PAN,lupini^la,a city,,,,,,,,,,,,,,
Lupi^nlan,Lupînlan,PAN,lupi^nlan,a city,,,,,,,,,,,,,,
Lupi^npula^n,Lupînpulân,PAN,lupi^npula^n,a city,,,,,,,,,,,,,,
Pangan,Pangan,PAN,paqan,a city,,,,,,,,,,,,,,
Pangila ,Pangila ,PAN,paqila,a city,,,,,,,,,,,,,,
Pangilan City ,Pangilan City ,PAN,paqilan mit,a city,,,,,,,,,,,,,,
Wanar,Wanar,PAN,wanar,a city,,,,,,,,,,,,,,
Wari^la,Warîla,PAN,wari^la,a city,,,,,,,,,,,,,,
Warlan,Warlan,PAN,warlan,a city,,,,,,,,,,,,,,
Warpula^n,Warpulân,PAN,warpula^n,a city,,,,,,,,,,,,,,
Warshan,Warshan,PAN,warxan,a city,,,,,,,,,,,,,,
Wenrir,Wenrir,PAN,wenrir,a city,,,,,,,,,,,,,,
Wikan,Wikan,PAN,wikan,a city,,,,,,,,,,,,,,
Wikila,Wikila,PAN,wikila,a city,,,,,,,,,,,,,,
Wilan,Wilan,PAN,wilan,a city,,,,,,,,,,,,,,
Wilpula^n,Wilpulân,PAN,wipula^n,a city,,,,,,,,,,,,,,
Wilwak,Wilwak,PAN,wilwak,a city,,,,,,,,,,,,,,
Wana,Wana,PAN,wana,a city,,,,,,,,,,,,,,
Wilfor,Wilfor,PAN,wilfor,a city,,,,,,,,,,,,,,
Pangil,Pangil,PAN,paqil,a city,,,,,,,,,,,,,,
Wolot,Wolot,PAN,wolot,a city,,,,,,,,,,,,,,
Pangilaguba,Pangilaguba,PAN,paqilaguba,a city,,,,,,,,,,,,,,
Palwak,Palwak,PAN,palwak,a city,,,,,,,,,,,,,,
Wanter,Wanter,PAN,wanter,a city,,,,,,,,,,,,,,
Pangilkuro,Pangilkuro,PAN,paqilkuro,a city,,,,,,,,,,,,,,
Pangten,Pangten,PAN,paqten,a city,,,,,,,,,,,,,,
Pangilanabaku,Pangilanabaku,PAN,paqilanabaku,a city,,,,,,,,,,,,,,
Pangishan,Pangishan,PAN,paqixan,a city,,,,,,,,,,,,,,
Pampula^n,Pampulân,PAN,pampula^n,a city,,,,,,,,,,,,,,
Pangilpula^n,Pangilpulân,PAN,paqilpula^n,a city,,,,,,,,,,,,,,
Pangilambarang,Pangilambarang,PAN,paqilambaraq,a city,,,,,,,,,,,,,,
Pamile,Pamile,PAN,pamile,a city,,,,,,,,,,,,,,
Wolpang,Wolpang,PAN,wolpaq,a city,,,,,,,,,,,,,,
Dapanginalando,Dapanginalando,PAN,dapaqinalando,a city,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,SOS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Talonshan,Talonshan,TUB,talonxan,a city,,,,,,,,,,,,,,
Talonlan,Talonlan,TUB,talonlan,a city,,,,,,,,,,,,,,
Bunilan,Bunilan,TUB,bunilan,a city,,,,,,,,,,,,,,
He-rlan,Hērlan,TUB,he-rlan,a city,,,,,,,,,,,,,,
Koneholan,Koneholan,TUB,koneholan,a city,,,,,,,,,,,,,,
Orikonlan,Orikonlan,TUB,orikonlan,a city,,,,,,,,,,,,,,
Arnalan,Arnalan,TUB,arnalan,a city,,,,,,,,,,,,,,
Rabiculan,Rabiculan,TUB,rabiculan,a city,,,,,,,,,,,,,,
Bongbong,Bongbong,TUB,boqboq,a city,,,,,,,,,,,,,,
Hoplan,Hoplan,TUB,hoplan,a city,,,,,,,,,,,,,,
Konebon City,Konebon City,TUB,konebon mit,a city,,,,,,,,,,,,,,
Usagilan,Usagilan,TUB,usagilan,a city,,,,,,,,,,,,,,
Bontalon,Bontalon,TUB,bontalon,a city,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fernelius,Fernelius,TUM,ferneliyas,a city,,,,,,,,,,,,,,
Fopil,Fopil,TUM,fopil,a city,,,,,,,,,,,,,,
Fenard,Fenard,TUM,fenard,a city,,,,,,,,,,,,,,
Varnil,Varnil,TUM,varnil,a city,,,,,,,,,,,,,,
Redfox,Redfox,TUM,redfoksu,a city,,,,,,,,,,,,,,
Fefurlan,Fefurlan,TUM,fefurlan,a city,,,,,,,,,,,,,,
Vulkan,Vulkan,TUM,vulkan,a city,,,,,,,,,,,,,,
Tumanggonglan,Tumanggonglan,TUM,tumaqgoqlan,a city,,,,,,,,,,,,,,
Wazafaksa^,Wazafaksâ,TUM,wazafaksa^,a city,,,,,,,,,,,,,,
